1,3,25,20,750,50
2,1,25,10,750,50
3,4,25,14,750,50
4,3,25,15,750,50
5,3,25,12,750,50
6,7,25,8,750,50
7,6,25,16,750,50
8,3,25,20,750,50
9,3,25,20,750,50
10,5,25,15,750,50
11,4,25,20,750,50
12,4,25,14,750,50
13,3,25,20,750,50
14,4,25,20,750,50
15,3,25,16,750,50
16,3,25,20,750,50
17,1,25,20,750,50
18,3,25,16,750,50
19,6,25,20,750,50
20,6,25,18,750,50
21,4,25,19,750,50
22,3,25,20,750,50
23,3,25,20,750,50
24,7,25,17,750,50
25,1,25,20,750,50
26,4,25,15,750,50
27,3,25,20,750,50
28,3,25,20,750,50
29,4,25,18,750,50
30,3,25,20,750,50
31,5,25,20,750,50
